Date,USD,VIX
7/13/1992,348.60,14.01
7/14/1992,349.30,13.50
7/15/1992,350.90,12.52
7/16/1992,353.00,12.27
7/17/1992,356.70,12.60
7/20/1992,359.30,12.66
7/21/1992,358.10,12.60
7/22/1992,358.75,13.57
7/23/1992,359.50,13.33
7/24/1992,357.60,13.37
7/27/1992,358.40,13.90
7/28/1992,359.60,13.05
7/29/1992,356.20,13.44
7/30/1992,356.75,13.50
7/31/1992,357.85,13.17
8/3/1992,354.05,13.83
8/4/1992,352.70,13.58
8/5/1992,350.75,13.82
8/6/1992,348.60,14.23
8/7/1992,349.90,13.94
8/10/1992,350.35,14.51
8/11/1992,348.15,15.09
8/12/1992,346.80,14.88
8/13/1992,337.30,15.34
8/14/1992,335.70,14.66
8/17/1992,337.40,14.61
8/18/1992,336.10,13.84
8/19/1992,338.00,14.35
8/20/1992,337.25,14.48
8/21/1992,336.90,15.01
8/24/1992,342.30,16.19
8/25/1992,341.40,15.62
8/26/1992,338.50,14.50
8/27/1992,339.00,13.66
8/28/1992,340.00,13.14
8/31/1992,340.00,13.58
9/1/1992,341.70,13.40
9/2/1992,340.45,12.73
9/3/1992,338.85,12.88
9/4/1992,342.05,12.98
9/7/1992,343.00,12.98
9/8/1992,342.15,13.65
9/9/1992,343.30,13.36
9/10/1992,342.25,12.92
9/11/1992,340.00,12.47
9/14/1992,346.25,13.00
9/15/1992,345.90,13.63
9/16/1992,349.00,14.72
9/17/1992,348.40,14.31
9/18/1992,347.20,13.74
9/21/1992,349.10,13.45
9/22/1992,349.15,13.88
9/23/1992,348.25,13.83
9/24/1992,348.25,13.44
9/25/1992,349.70,14.80
9/28/1992,348.00,15.19
9/29/1992,347.50,14.97
9/30/1992,349.00,14.28
10/1/1992,348.55,16.31
10/2/1992,348.00,17.79
10/5/1992,349.50,20.01
10/6/1992,350.30,19.95
10/7/1992,350.15,21.02
10/8/1992,350.50,19.26
10/9/1992,350.10,20.51
10/12/1992,346.50,19.49
10/13/1992,343.75,17.90
10/14/1992,343.75,18.42
10/15/1992,341.85,17.11
10/16/1992,341.75,17.01
10/19/1992,342.60,17.31
10/20/1992,343.50,16.87
10/21/1992,343.75,16.62
10/22/1992,342.65,15.84
10/23/1992,342.50,16.46
10/26/1992,341.45,16.32
10/27/1992,338.25,16.24
10/28/1992,338.20,15.95
10/29/1992,339.50,15.47
10/30/1992,339.25,16.15
11/2/1992,339.50,16.67
11/3/1992,338.60,17.33
11/4/1992,337.80,16.28
11/5/1992,338.05,15.38
11/6/1992,337.10,14.69
11/9/1992,334.50,14.23
11/10/1992,330.35,14.37
11/11/1992,331.15,13.99
11/12/1992,333.10,14.37
11/13/1992,334.40,14.61
11/16/1992,335.40,14.86
11/17/1992,334.30,15.01
11/18/1992,335.10,14.55
11/19/1992,334.25,14.33
11/20/1992,336.10,13.67
11/23/1992,334.05,13.40
11/24/1992,334.30,12.66
11/25/1992,334.35,12.50
11/26/1992,334.70,12.50
11/27/1992,334.05,12.58
11/30/1992,334.20,13.01
12/1/1992,334.65,12.80
12/2/1992,335.65,12.56
12/3/1992,335.25,12.03
12/4/1992,335.60,11.81
12/7/1992,334.60,12.00
12/8/1992,335.25,11.73
12/9/1992,333.50,12.58
12/10/1992,333.70,12.75
12/11/1992,335.10,12.34
12/14/1992,335.20,12.66
12/15/1992,334.90,12.41
12/16/1992,337.30,12.58
12/17/1992,338.65,12.14
12/18/1992,337.00,11.66
12/21/1992,333.90,11.65
12/22/1992,332.60,11.75
12/23/1992,333.00,11.51
12/24/1992,333.00,11.57
12/25/1992,333.00,11.57
12/28/1992,333.00,12.22
12/29/1992,332.50,12.29
12/30/1992,332.90,12.60
12/31/1992,332.90,12.57
1/1/1993,332.90,12.57
1/4/1993,328.25,13.36
1/5/1993,328.60,13.35
1/6/1993,329.60,13.37
1/7/1993,329.15,14.72
1/8/1993,329.10,13.77
1/11/1993,328.40,12.86
1/12/1993,329.20,12.78
1/13/1993,327.55,12.42
1/14/1993,327.65,11.99
1/15/1993,327.70,11.57
1/18/1993,328.15,11.49
1/19/1993,329.00,12.06
1/20/1993,329.00,12.15
1/21/1993,329.75,11.69
1/22/1993,328.75,11.30
1/25/1993,328.45,11.38
1/26/1993,330.90,11.45
1/27/1993,330.60,12.01
1/28/1993,329.95,12.04
1/29/1993,330.45,12.42
2/1/1993,329.75,12.33
2/2/1993,329.65,12.25
2/3/1993,328.20,12.12
2/4/1993,328.00,12.29
2/5/1993,327.75,12.90
2/8/1993,327.95,13.22
2/9/1993,328.05,13.48
2/10/1993,329.85,13.43
2/11/1993,332.00,12.69
2/12/1993,329.20,12.38
2/15/1993,328.60,12.38
2/16/1993,329.45,15.76
2/17/1993,330.60,15.90
2/18/1993,329.95,15.56
2/19/1993,330.80,15.02
2/22/1993,329.70,14.70
2/23/1993,329.60,15.04
2/24/1993,329.90,14.72
2/25/1993,329.60,13.76
2/26/1993,327.60,13.16
3/1/1993,328.50,13.60
3/2/1993,329.15,12.49
3/3/1993,329.55,13.13
3/4/1993,328.05,13.44
3/5/1993,329.75,14.08
3/8/1993,327.50,16.22
3/9/1993,326.95,14.17
3/10/1993,326.10,13.91
3/11/1993,326.90,14.26
3/12/1993,327.00,15.66
3/15/1993,328.00,14.74
3/16/1993,329.00,14.51
3/17/1993,328.75,14.53
3/18/1993,330.25,14.17
3/19/1993,331.65,13.23
3/22/1993,332.60,13.66
3/23/1993,331.90,13.02
3/24/1993,331.00,12.44
3/25/1993,332.60,12.08
3/26/1993,332.70,12.21
3/29/1993,331.70,12.63
3/30/1993,334.40,12.23
3/31/1993,337.80,12.53
4/1/1993,336.35,13.02
4/2/1993,340.10,14.50
4/5/1993,339.25,14.12
4/6/1993,338.40,14.24
4/7/1993,336.75,13.64
4/8/1993,337.50,12.83
4/9/1993,337.50,12.83
4/12/1993,337.50,11.93
4/13/1993,336.70,11.70
4/14/1993,338.25,11.76
4/15/1993,338.90,10.96
4/16/1993,337.85,11.29
4/19/1993,339.60,12.06
4/20/1993,339.90,11.94
4/21/1993,339.00,12.11
4/22/1993,339.30,12.68
4/23/1993,344.90,13.36
4/26/1993,349.25,15.25
4/27/1993,351.40,13.93
4/28/1993,349.70,13.12
4/29/1993,355.60,12.80
4/30/1993,354.30,12.42
5/3/1993,354.30,12.90
5/4/1993,356.15,12.14
5/5/1993,354.25,12.38
5/6/1993,355.50,13.22
5/7/1993,357.50,13.01
5/10/1993,356.80,13.72
5/11/1993,355.35,13.35
5/12/1993,356.20,13.56
5/13/1993,367.00,14.76
5/14/1993,368.20,14.39
5/17/1993,369.25,14.13
5/18/1993,367.80,14.19
5/19/1993,381.90,14.29
5/20/1993,373.80,13.98
5/21/1993,373.25,14.51
5/24/1993,379.25,14.10
5/25/1993,377.50,14.04
5/26/1993,374.50,12.88
5/27/1993,374.75,13.10
5/28/1993,377.45,13.47
5/31/1993,377.45,13.47
6/1/1993,377.35,13.67
6/2/1993,369.00,13.48
6/3/1993,374.70,13.54
6/4/1993,377.60,12.86
6/7/1993,372.80,14.07
6/8/1993,375.25,14.74
6/9/1993,371.45,13.96
6/10/1993,370.80,13.31
6/11/1993,370.35,12.71
6/14/1993,363.00,12.33
6/15/1993,365.35,11.99
6/16/1993,368.00,11.87
6/17/1993,369.45,11.66
6/18/1993,370.90,12.24
6/21/1993,370.55,12.25
6/22/1993,368.80,11.65
6/23/1993,367.10,12.04
6/24/1993,373.90,12.25
6/25/1993,376.10,11.25
6/28/1993,375.35,11.11
6/29/1993,375.35,11.29
6/30/1993,378.45,11.26
7/1/1993,379.00,11.51
7/2/1993,388.10,11.33
7/5/1993,387.60,11.33
7/6/1993,391.65,13.87
7/7/1993,395.80,13.05
7/8/1993,395.20,12.24
7/9/1993,393.10,10.80
7/12/1993,393.40,10.85
7/13/1993,392.45,11.02
7/14/1993,394.40,10.78
7/15/1993,392.70,10.60
7/16/1993,392.00,10.96
7/19/1993,394.80,11.46
7/20/1993,392.10,11.05
7/21/1993,392.40,11.97
7/22/1993,389.15,11.69
7/23/1993,391.30,11.32
